,word1,word2,freq
1031,손상,축적,2810
1032,위력,피해,2810
1033,파괴,피해,2810
1034,가연성,본질,2810
1035,가스,질의,2809
1036,가스,고압,2808
1037,손상,하의,2808
1038,장소,추가,2808
1039,기계,밀폐,2808
1040,가연성,진행,2807
1041,위험성,이동,2807
1042,피해,확산,2806
1043,입자,피해,2806
1044,공기,입자,2806
1045,밀폐,차로,2805
1046,고체,입자,2804
1047,가공,가스,2803
1048,가연성,질의,2803
1049,피해,하의,2802
1050,밀폐,파괴,2802
1051,추가,통풍,2802
1052,고체,확산,2801
1053,고체,차로,2801
1054,공기,확산,2800
1055,차로,초기,2800
1056,실내,위험성,2798
1057,고체,하의,2798
1058,밀폐,위력,2796
1059,가연성,정적,2796
1060,가연성,대전,2794
1061,설비,제조,2792
1062,기계,초기,2792
1063,공기,하의,2792
1064,가연성,고압,2789
1065,가스,미세,2788
1066,가공,가연성,2783
1067,기계,마이크론,2783
1068,공장,제조,2781
1069,초기,파괴,2781
1070,위력,초기,2780
1071,공기,정전기,2777
1072,마이크론,연쇄반응,2777
1073,고체,기계,2774
1074,연소,피해,2772
1075,연쇄반응,초기,2772
1076,마이크론,파괴,2771
1077,마이크론,위력,2771
1078,인화,혼합물,2770
1079,폭발력,화재,2769
1080,밀폐,연쇄반응,2767
1081,정전기,화재,2766
1082,공기,난류,2765
1083,고체,연쇄반응,2765
1084,공기,방사,2763
1085,밀폐,인화,2762
1086,고체,작업,2762
1087,파괴,화재,2762
1088,고체,위력,2761
1089,고체,파괴,2761
1090,공기,배기가스,2760
1091,공기,주요,2759
1092,건물,화재,2758
1093,손상,연소,2756
1094,압력,추가,2755
1095,손상,주요,2755
1096,밀폐,입자,2755
1097,상승,추가,2751
1098,밀폐,확산,2751
1099,기계,화재,2750
1100,추가,폭발력,2749
1101,건물,추가,2749
1102,주요,초기,2748
1103,밀폐,하의,2747
1104,가열,파열,2747
1105,밀폐,주요,2746
1106,스파크,위험성,2745
1107,실내,증기,2743
1108,주요,피해,2743
1109,충격파,화재,2742
1110,초기,확산,2742
1111,입자,초기,2742
1112,초기,축적,2740
1113,초기,하의,2738
1114,방출,분해,2738
1115,폭발,한도,2738
1116,차로,화재,2737
1117,작업,피해,2735
1118,추가,충격파,2733
1119,차로,추가,2728
1120,발화,연무,2727
1121,위력,화재,2725
1122,기계,추가,2723
1123,추가,파괴,2717
1124,위력,추가,2717
1125,작업,화재,2714
1126,공기,작업,2714
1127,파우더,화재,2710
1128,연소,초기,2710
1129,공기,장비,2709
1130,밀폐,작업,2706
1131,입자,화재,2705
1132,연쇄반응,화재,2703
1133,연쇄반응,추가,2699
1134,장소,혼합물,2697
1135,화재,확산,2697
1136,고체,주요,2696
1137,마이크론,연소,2695
1138,스파크,혼합물,2693
1139,공기,접지,2693
1140,고체,화염,2692
1141,공기,처리,2691
1142,출시,화염,2691
1143,추가,축적,2690
1144,스파크,장소,2690
1145,공기,기와,2688
1146,공기,보호,2687
1147,기체,점화,2686
1148,공기,분쇄기,2686
1149,결합,공기,2686
1150,건조기,공기,2686
1151,하의,화재,2686
1152,밀폐,수송,2685
1153,연소,추가,2685
1154,고체,정전기,2683
1155,마이크론,주요,2680
1156,입자,추가,2678
1157,추가,확산,2675
1158,정전기,혼합물,2673
1159,마이크론,작업,2672
1160,추가,하의,2671
1161,고체,접촉,2671
1162,위험성,파열,2669
1163,주요,화재,2666
1164,위험성,형성,2664
1165,불꽃,장소,2661
1166,압력,증기,2658
1167,밀폐,정전기,2658
1168,수송,정전기,2658
1169,스파크,정전기,2656
1170,정전기,파우더,2655
1171,주요,추가,2655
1172,난류,정전기,2649
1173,이동,정전기,2648
1174,발화,위험성,2647
